pair_id,variant,plain_size,transformed_size,encrypt_ns,hash_ns,send_ns,send_ts_us
200,1,128,256,139269,0,12850,1763725854390123
201,0,128,0,0,0,12627,1763725854390418
201,1,128,256,138230,0,11644,1763725854390572
202,0,128,0,0,0,11713,1763725854390867
202,1,128,256,146566,0,12882,1763725854391030
203,0,128,0,0,0,11488,1763725854391324
203,1,128,256,138810,0,11844,1763725854391478
204,0,128,0,0,0,12502,1763725854391785
204,1,128,256,138567,0,11897,1763725854391940
205,0,128,0,0,0,12623,1763725854392234
205,1,128,256,128483,0,10716,1763725854392378
206,0,128,0,0,0,10812,1763725854392669
206,1,128,256,127600,0,11003,1763725854392811
207,0,128,0,0,0,11335,1763725854393101
207,1,128,256,127897,0,10639,1763725854393244
208,0,128,0,0,0,10371,1763725854393533
208,1,128,256,127853,0,10248,1763725854393675
209,0,128,0,0,0,11156,1763725854393983
209,1,128,256,128489,0,10599,1763725854394127
210,0,128,0,0,0,10645,1763725854394417
210,1,128,256,128139,0,10727,1763725854394560
211,0,128,0,0,0,10633,1763725854394851
211,1,128,256,139236,0,11122,1763725854395005
212,0,128,0,0,0,11304,1763725854395296
212,1,128,256,119333,0,10328,1763725854395429
213,0,128,0,0,0,9697,1763725854395716
213,1,128,256,119767,0,11092,1763725854395869
214,0,128,0,0,0,10411,1763725854396169
214,1,128,256,119811,0,9818,1763725854396302
215,0,128,0,0,0,9908,1763725854396590
215,1,128,256,118755,0,10111,1763725854396722
216,0,128,0,0,0,10182,1763725854396986
216,1,128,256,118755,0,11383,1763725854397120
217,0,128,0,0,0,9634,1763725854397407
217,1,128,256,119342,0,10112,1763725854397540
218,0,128,0,0,0,11098,1763725854397829
218,1,128,256,120198,0,23592,1763725854397977
219,0,128,0,0,0,17952,1763725854398287
219,1,128,256,122422,0,15581,1763725854398432
220,0,128,0,0,0,20605,1763725854398739
220,1,128,256,123786,0,13002,1763725854398881
221,0,128,0,0,0,13248,1763725854399177
221,1,128,256,115739,0,11546,1763725854399308
222,0,128,0,0,0,11648,1763725854399598
222,1,128,256,112886,0,12346,1763725854399727
223,0,128,0,0,0,162053,1763725854400148
223,1,128,256,68711,0,5755,1763725854400229
224,0,128,0,0,0,4898,1763725854400529
224,1,128,256,39996,0,4084,1763725854400575
225,0,128,0,0,0,4079,1763725854400932
225,1,128,256,44138,0,3445,1763725854400982
226,0,128,0,0,0,3995,1763725854401249
226,1,128,256,42575,0,3412,1763725854401297
227,0,128,0,0,0,16590,1763725854401590
227,1,128,256,125947,0,12101,1763725854401733
228,0,128,0,0,0,14376,1763725854401993
228,1,128,256,124525,0,12514,1763725854402134
229,0,128,0,0,0,14756,1763725854402459
229,1,128,256,125941,0,11080,1763725854402601
230,0,128,0,0,0,13414,1763725854402896
230,1,128,256,129161,0,10909,1763725854403040
231,0,128,0,0,0,10372,1763725854403329
231,1,128,256,111477,0,9199,1763725854403453
232,0,128,0,0,0,9455,1763725854403739
232,1,128,256,110719,0,8918,1763725854403861
233,0,128,0,0,0,9837,1763725854404147
233,1,128,256,111400,0,9547,1763725854404271
234,0,128,0,0,0,9367,1763725854404566
234,1,128,256,111149,0,10648,1763725854404691
235,0,128,0,0,0,9843,1763725854404981
235,1,128,256,111511,0,9433,1763725854405105
236,0,128,0,0,0,9103,1763725854405390
236,1,128,256,110833,0,9585,1763725854405513
237,0,128,0,0,0,9356,1763725854405798
237,1,128,256,110822,0,8993,1763725854405921
238,0,128,0,0,0,9396,1763725854406216
238,1,128,256,111202,0,9093,1763725854406339
239,0,128,0,0,0,9688,1763725854406625
239,1,128,256,110874,0,9547,1763725854406749
240,0,128,0,0,0,10247,1763725854406988
240,1,128,256,105393,0,8576,1763725854407105
241,0,128,0,0,0,9520,1763725854407389
241,1,128,256,111169,0,9123,1763725854407513
242,0,128,0,0,0,9218,1763725854407798
242,1,128,256,104377,0,8439,1763725854407914
243,0,128,0,0,0,9276,1763725854408206
243,1,128,256,104332,0,8817,1763725854408322
244,0,128,0,0,0,8803,1763725854408606
244,1,128,256,103873,0,8521,1763725854408722
245,0,128,0,0,0,9199,1763725854408984
245,1,128,256,104026,0,8358,1763725854409100
246,0,128,0,0,0,8586,1763725854409383
246,1,128,256,103636,0,8391,1763725854409498
247,0,128,0,0,0,8496,1763725854409781
247,1,128,256,103464,0,8312,1763725854409896
248,0,128,0,0,0,9805,1763725854410189
248,1,128,256,104264,0,8713,1763725854410305
249,0,128,0,0,0,8841,1763725854410588
249,1,128,256,103660,0,8416,1763725854410703
250,0,128,0,0,0,8992,1763725854410983
250,1,128,256,104036,0,8254,1763725854411098
251,0,128,0,0,0,8388,1763725854411380
251,1,128,256,103662,0,8219,1763725854411495
252,0,128,0,0,0,8345,1763725854411777
252,1,128,256,103617,0,8264,1763725854411892
253,0,128,0,0,0,9045,1763725854412183
253,1,128,256,97980,0,8172,1763725854412292
254,0,128,0,0,0,8244,1763725854412573
254,1,128,256,97853,0,8084,1763725854412681
255,0,128,0,0,0,156613,1763725854413112
255,1,128,256,53560,0,21788,1763725854413191
256,0,128,0,0,0,4625,1763725854413485
256,1,128,256,35176,0,3157,1763725854413525
257,0,128,0,0,0,3400,1763725854413791
257,1,128,256,34784,0,3094,1763725854413831
258,0,128,0,0,0,11079,1763725854414128
258,1,128,256,113451,0,9391,1763725854414255
259,0,128,0,0,0,9201,1763725854414544
259,1,128,256,110770,0,9378,1763725854414667
260,0,128,0,0,0,17181,1763725854414963
260,1,128,256,114541,0,16266,1763725854415099
261,0,128,0,0,0,22488,1763725854415415
261,1,128,256,126449,0,27307,1763725854415574
262,0,128,0,0,0,14071,1763725854415875
262,1,128,256,117709,0,11352,1763725854416009
263,0,128,0,0,0,15758,1763725854416315
263,1,128,256,111650,0,12761,1763725854416444
264,0,128,0,0,0,11751,1763725854416737
264,1,128,256,135624,0,10493,1763725854416887
265,0,128,0,0,0,9885,1763725854417174
265,1,128,256,100076,0,8027,1763725854417285
266,0,128,0,0,0,8519,1763725854417565
266,1,128,256,97753,0,8321,1763725854417674
267,0,128,0,0,0,13350,1763725854417961
267,1,128,256,98969,0,10303,1763725854418073
268,0,128,0,0,0,9899,1763725854418367
268,1,128,256,101582,0,9097,1763725854418481
269,0,128,0,0,0,8919,1763725854418765
269,1,128,256,99034,0,7909,1763725854418875
270,0,128,0,0,0,29342,1763725854419179
270,1,128,256,60009,0,31171,1763725854419277
271,0,128,0,0,0,4857,1763725854419556
